timeDeltas,label
0,0
1.354087,0
0.243125,0
1.525214,0
0.199601,0
0.214244,0
0.029488,0
0.005369,0
0.293003,0
0.342019,0
0.556939,0
1.104576,0
0.02195,0
0.013481,0
0.001986,0
0.016749,0
0.010219,0
0.010552,0
0.558109,0
0.238053,0
0.00199,0
0.003914,0
0.010935,0
0.093733,0
0.07219,0
0.081815,0
2.941107,0
7.63161,0
12.205916,1
2.358531,0
0.371689,0
0.336137,0
1.340433,0
10.04751,1
1.696145,0
0.013491,0
0.001982,0
0.005664,0
0.036346,0
0.138643,0
1.400284,0
0.15202,0
0.06036,0
0.003981,0
0.000421,0
0.067015,0
0.045363,0
0.581417,0
0.030505,0
0.004538,0
0.009591,0
0.27815,0
0.127512,0
0.198336,0
0.77243,0
0.266264,0
0.060544,0
0.58126,0
13.404037,1
13.275149,1
0.032886,0
0.391087,0
0.812401,0
20.122599,1
1.982993,0
1.989573,0
0.654888,0
0.090943,0
0.155536,0
0.11604,0
0.097033,0
1.743813,0
12.281828,0
0.124959,0
1.088416,0
0.903259,0
0.579688,0
0.196745,0
13.3818,0
0.057962,0
1.405455,0
0.898041,0
0.169265,0
0.099653,0
15.773588,1
0.094966,0
1.090497,0
0.002953,0
0.009694,0
0.030028,0
0.036313,0
0.000003,0
0.233214,0
0.913906,1
0.09176,0
0.026584,0
0.120579,0
0.047254,0
0.009488,0
0.072883,0
0.000556,0
0.100825,0
0.076972,0
0.140921,0
0.389134,0
0.167362,0
0.04576,0
0.068431,0
0.000844,0
1.551381,0
1.311256,0
0.176922,0
2.528218,0
5.966789,0
8.174494,1
1.474865,0
12.103177,0
1.914824,0
0.023734,0
0.26181,0
0.392249,0
0.195112,0
1.765248,0
0.000361,0
9.10127,1
1.586037,0
0.103206,0
1.1503,0
0.001014,0
0.003669,0
0.001358,0
0.002494,0
1.048134,0
0.278667,0
0.000975,0
0.008353,0
17.953764,1
0.03315,0
0.046567,0
0.092605,0
0.976667,0
0.005854,0
0.262557,0
0.891825,0
5.390496,1
0.110576,0
11.366573,1
0.038279,0
2.006968,0
0.000724,0
0.001081,0
0.000616,0
0.001379,0
0.002719,0
0.661444,0
0.216293,0
0.030812,0
0.390095,0
0.077943,0
0.221578,0
0.054139,0
7.517096,1
0.183364,0
0.003045,0
0.42082,0
0.577754,0
0.000431,0
0.000923,0
0.000508,0
0.000876,0
0.024279,0
0.623905,0
1.141411,0
0.557512,0
0.000001,0
0.120831,0
0.067713,0
0.060294,0
0.012057,0
0.133428,0
0.281323,0
0.271621,0
0.000005,0
0.039577,0
0.00825,0
0.026044,0
0.001043,0
0.032459,0
0.009285,0
0.011426,0
0.110719,0
0.027553,0
0.023234,0
0.017402,0
0.043353,0
0.000763,0
0.214145,0
0.223138,0
0.324078,0
0.002133,0
0.108328,0
0.09686,0
0.000002,0
0.236601,0
0.197211,0
0.991583,0
0.61377,0
0.00236,0
0.05316,0
0.01137,0
0.000301,0
0.048393,0
0.001371,0
0.034922,0
0.030402,0
0.048818,0
0.080532,0
0.076224,0
0.568895,0
0.012175,0
0.004032,0
0.00231,0
0.26968,0
0.305097,0
11.594677,1
0.001069,0
0.006919,0
0.009461,0
0.046069,0
0.000968,0
0.004246,0
0.248363,0
0.069191,0
0.964295,0
0.002211,0
0.265349,0
0.144996,0
1.153175,0
0.120204,0
0.904919,0
0.006553,0
0.04712,0
0.013974,0
0,0
0.000001,0
0.124478,0
0.016034,0
0.001475,0
0.031712,0
1.138405,0
0.213424,0
